,author,date,section,word_count,abstract,headline,source,subjects
32,"Nicholas, Peter; Parsons, Christi","Nov 14, 2011",Main News; Part A; Foreign Desk,887.0," ""The main theme of U.S.-Asia relations right now is reassuring the region that the U.S. intends to be a permanent strategic player, maintaining if not increasing its presence, despite the doubts that people in the region have about U.S. staying power because of the budget fight,"" said Denny Roy, senior fellow at the East-West Center in Honolulu.",Obama's sending a signal to Beijing,Los Angeles Times,"International relations-US -- China, Press conferences, Geopolitics"
33,"Mascaro, Lisa; Nicholas, Peter","Apr 6, 2011",LATExtra; Part AA; National Desk,859.0," According to a senior administration official, Boehner said at the White House meeting that he wanted what amounted to $40 billion in cuts.",U.S. budget talks fail as clock ticks; The parties come up empty at a White House meeting. A shutdown is possible.,Los Angeles Times,"Shutdowns, Presidents, Meetings, Federal budget, Government spending, Agreements, Budget deficits, Bills"
34,"Semuels, Alana","Jul 11, 2011",Main News; Part A; Business Desk,787.0," The difficulties veterans face in finding work was in evidence Sunday at the Hiring Our Heroes job fair at Sony Pictures Studios in Culver City, where more than 1,000 veterans converged to meet with employers and seek work.","MONDAY BUSINESS; Veterans face high unemployment; Many lack the college degrees employers are seeking, and the job market is rough for those returning home.",Los Angeles Times,"Veterans, Economic statistics, Job hunting, Unemployment"
35,"Richter, Paul","Sep 24, 2011",Main News; Part A; Foreign Desk,791.0," The release of the proposal late Friday after a week of high drama and drawn-out diplomacy at the U.N. underscores how desperate U.S. and European officials are to draw the adversaries back to peace talks, rather than see the Palestinians rely on their sovereignty bid at the U.N. The latest formula ignores or papers over several contentious issues that helped create the stalemate, and it is far from clear whether it presents a fresh way forward or is just a face-saving diplomatic effort after a week of frustration.",'Quartet' offers a plan; The U.S. and others advance an eleventh-hour proposal for Mideast peace talks after Abbas' U.N. plea.,Los Angeles Times,"Palestinians, International relations, Peace negotiations"
36,"Borzou Daragahi; Abdulrahim, Raja","Feb 25, 2011",LATExtra; Part AA; Foreign Desk,1529.0," After braving days of extreme violence and seizing control of the oil-rich North African country's eastern areas, anti-Kadafi forces reportedly took control of the city of Zawiya, just 30 miles west of the capital. The deteriorating situation ""demands quick action,"" said White House spokesman Jay Carney, adding that the Obama administration was working with the United Nations and allies to identify options for dealing with the crisis.",Libya rebels closing in on Tripoli; Kadafi's opponents reportedly seize a western city and plan a capital rally Friday.,Los Angeles Times,Demonstrations & protests -- Libya
37,"Puzzanghera, Jim","Jul 1, 2011",LATExtra; Part AA; Business Desk,364.0," Treasury Secretary Timothy F. Geithner disputed a report that he was considering resigning after finishing debt negotiations with Congress, saying he would continue in his job for the foreseeable future.",Treasury Secretary Geithner denies that he's departing,Los Angeles Times,Economic conditions
38,Anonymous,"Apr 20, 2011",Main News; Part A; Editorial Desk,478.0," The problem is that, even in the primary but especially in the general election, too intimate an embrace of social conservatives will hurt a candidate with voters who reject that agenda -- professional women, supporters of gay rights and abortion rights -- but who are otherwise conservative.",'Tea party' tango,Los Angeles Times,"Editorials -- Presidential elections, Political campaigns, Presidential elections, Candidates, Conservatism, Primaries & caucuses"
39,Anonymous,"May 4, 2011",LATExtra; Part AA; News Desk,68.0,,LATE BRIEFING; NEW YORK; Mayor expects Obama at event,Los Angeles Times,
40,Anonymous,"Sep 6, 2011",Business; Part B; Business Desk,304.0, The jobs crisis has prompted President Obama to schedule a major speech Thursday to propose steps to stimulate hiring. [...] traders coming back from the U.S. holiday weekend will have little to hold onto.,Global markets sink on report,Los Angeles Times,"Recessions, Stock prices, Stock exchanges"
41,"Wong, Wailin","Mar 26, 2011",Business; Part B; Business Desk,947.0," ""There's no reason people shouldn't give small amounts of money throughout their life,"" said Desiree Vargas Wrigley, co-founder and chief executive of Give- Forward, a Chicago firm that helps people raise money for medical expenses. EduLender, a Chicago comparison-shopping site for student loans that also allows users to raise money for tuition or debt repayment, has raised $1 million.",Crowd-funding sites are getting attention from investors; Start-up companies see the potential in raising money through social media.,Los Angeles Times,"Venture capital, Web sites, Philanthropy, Social networks, Fund raising, Startups"
42,"McMANUS, DOYLE","Nov 24, 2011",Main News; Part A; Editorial Desk,835.0," (Never mind that he escalated the war in Afghanistan, increased the number of drone attacks in Pakistan and killed Osama bin Laden; for most Republican candidates, a Democratic president can't be hawkish enough.) On Tuesday, the candidates stopped lambasting Obama just long enough to have a genuine foreign policy debate, and it revealed clear differences between the two leading candidates. He says the best way to stop Iran's nuclear program is by sending secret agents to sabotage Tehran's gasoline refinery while forcing a collapse in the price of oil through increased U.S. production. [...] he says the war in Afghanistan should be widened, with ""hot pursuit"" raids by U.S. ground troops into Pakistan.",Bland vs. firebrand,Los Angeles Times,"Nuclear weapons, Debates, Political campaigns, Presidential elections, Candidates, Foreign policy"
43,"Mehta, Seema","Jun 5, 2011",Main News; Part A; National Desk,317.0," [...] Huntsman, like former Massachusetts Gov. Mitt Romney, is a Mormon, and some of the evangelical voters who dominate the Iowa GOP caucuses were skeptical of Romney's 2008 bid in part because of his religious beliefs.","THE NATION; Huntsman, leaning toward running, says he'll skip Iowa",Los Angeles Times,"Presidential elections, Primaries & caucuses, Candidates"
44,"Shadia, Mona; Esquivel, Paloma","Mar 24, 2011",LATExtra; Part AA; Metro Desk,727.0," In the video, families with small children can be seen walking into the community center while protesters carrying American flags chant, ""Go back home!"" Although it's not the first time Pauly's words have generated controversy in Villa Park, her statements protesting an event organized by a relief wing of the Islamic Circle of North America drew national attention and inspired a division in the city that was on clear display Tuesday night as hundreds gathered to denounce and support her.",Controversy disturbs O.C.'s 'Hidden Jewel'; A councilwoman's remarks at an Islamic event roil Villa Park.,Los Angeles Times,"Muslims, Hate, Public officials"
45,Anonymous,"Jun 18, 2011",Main News; Part A; Foreign Desk,114.0,,WORLD BRIEFING; UNITED NATIONS; Resolution backing gay rights narrowly passes,Los Angeles Times,
46,Anonymous,"Jun 15, 2011",Main News; Part A; Letters Desk,1224.0,,LETTERS,Los Angeles Times,
47,Anonymous,"Mar 10, 2011",Main News; Part A; Letters Desk,1159.0,,LETTERS,Los Angeles Times,
48,"Rutten, Tim","Feb 5, 2011",Main News; Part A; Editorial Desk,761.0, [...] we can't ignore the fact that in the two places where offshoots of Egypt's Muslim Brotherhood have managed to gain political power --,Beware Islamists in the wings,Los Angeles Times,"Revolutions, Demonstrations & protests, Muslims, Islamism, Politics, Political parties"
49,"Abcarian, Robin","Sep 28, 2011",Main News; Part A; National Desk,388.0," How can this person possibly judge any food? Holy Smoke coauthor John Shelton Reed, a retired University of North Carolina sociology professor, said Monday that people in his state did not mess around with this form of cooking.",Barbecue bias comes back to bite Perry,Los Angeles Times,"Presidential elections, Political conventions"
50,"Hennessy-Fiske, Molly; Memoli, Michael; Gold, Scott","Jan 13, 2011",LATExtra; Part AA; National Desk,1755.0," President Obama, facing the challenge of consoling Arizona and uniting the nation, urged Americans on Wednesday not to point fingers of blame but to ""expand our moral imaginations"" and to ""sharpen our instincts for empathy."" Speaking at a memorial for victims of the Tucson shooting that left six people dead and 13 wounded, including Rep. Gabrielle Giffords (D-Ariz.), the president said the gunman's motives were a mystery.","TUCSON SHOOTINGS; A CALL FOR HEALING; In Tucson, Obama asks nation to unite; At a memorial, the president pays tribute to victims and heroes of weekend's tragedy.",Los Angeles Times,"Mass murders, Firearm laws & regulations, Shootings"
51,"Kellogg, Carolyn","Nov 9, 2011",Calendar; Part D; Entertainment Desk,1041.0," Clinton frames the history and issues of big components of the debt, including Social Security and healthcare, while making note of challenges such as corporate tax breaks (ExxonMobil made $10.7 billion in profit in the second quarter of 2011 while paying an effective tax rate of 17.6%, lower than the average tax rate of 20.4% for individual Americans).",BOOK REVIEW; Bill Clinton's rallying cry,Los Angeles Times,"Books -- Back to Work: Why We Need Smart Government for a Strong Economy, Nonfiction"
52,"Williams, Carol J","Oct 15, 2011",Main News; Part A; Metro Desk,1353.0, The deaths of four semi-retired senior jurists and full-time Circuit Judge Pamela Ann Rymer have intensified concerns on the aging bench and among judicial scholars that the 9th Circuit will fall farther behind in what is already the slowest pace of dispensing justice in the federal courts.,Jurist deaths add to court backlog; The nation's busiest appeals court has lost five judges this year.,Los Angeles Times,"Litigation, Fatalities, Hearings & confirmations, Federal court decisions, Nominations, Judges & magistrates"
53,"Rodriguez, Gregory","Jan 31, 2011",Main News; Part A; Editorial Desk,688.0," President Obama's resurrection of Cold War iconography in the State of the Union address -- calling for a new ""Sputnik moment"" that would inspire American workers to ""win the future"" -- sounded a lot like old-fashioned ""America First"" rhetoric and not so much like a leader in the new globalized world order.",The cosmo patriot,Los Angeles Times,"Patriotism, Globalization, State of the Union Address, International relations-US, Political behavior"
54,,"Nov 3, 2011",Calendar; Part D; Entertainment Desk,94.0,,QUICK TAKES; NPR's Cornish gets 'Things' gig,Los Angeles Times,
55,"Nicholas, Peter","Jan 12, 2011",Main News; Part A; Foreign Desk,485.0," Biden, reading from notes in a soft monotone as Afghan President Hamid Karzai stood a few feet away, aligned himself with the Obama administration's more flexible plan for an Afghanistan troop drawdown, acknowledging that the U.S. might retain a presence in Afghanistan beyond 2014.",Biden backpedals on Afghanistan date; The vice president says U.S. forces may stay in the country beyond 2014.,Los Angeles Times,Military withdrawals
56,"Mascaro, Lisa","Oct 5, 2011",Main News; Part A; National Desk,446.0," Bringing a tense debate to a quiet close, the House approved legislation Tuesday to fund the government and replenish disaster aid into next month, ending for now the threat of a government shutdown.","House OKs short-term funding bill; The legislation pays for disaster aid and averts a government shutdown, at least until next month.",Los Angeles Times,"Congressional committees, Bills, Government spending, Agreements, Disaster relief"
57,"Mascaro, Lisa; Parsons, Christi; Nicholas, Peter","Jul 19, 2011",Main News; Part A; National Desk,518.0," The House prepared to vote on a Republican proposal to raise the debt ceiling in exchange for steep spending cuts, in defiance of President Obama's vow to veto the bill if it passed both chambers of Congress.",House's debt ceiling vote seen as a symbolic move,Los Angeles Times,"National debt, Bills, Government spending, Vetoes, Budget deficits"
58,"Parsons, Christi; Hamburger, Tom","Apr 29, 2011",Business; Part B; Business Desk,743.0," White House Chief of Staff Bill Daley, a former business executive and Obama's chief emissary in the effort, urged Chicago business leaders in meetings Wednesday and Thursday to convey their own worries about the threat of default to Republican leaders in Congress.",Obama tries to win business allies; The president's top aide urges CEOs to support an increase in the debt ceiling.,Los Angeles Times,"Default, Business government relations, Chief executive officers, National debt, Budget deficits"
59,"Lee, Don; Mascaro, Lisa","Oct 4, 2011",Business; Part B; Business Desk,856.0," President Obama is poised to get at least one key element of his economic agenda through Congress by moving three long-disputed trade agreements to lawmakers after securing assurances that House Republicans would back a separate measure to help displaced workers, an issue that had held up the trade pacts. In the short term, the advantages may lie more with the three trading partners, especially South Korea, which is expected to move quickly to capitalize on the opportunity to expand its existing penetration of the U.S. auto and electronics markets.",CAPITOL HILL; Trade agreements are expected to pass,Los Angeles Times,"US exports, International trade, Bills, Trade agreements"
60,Anonymous,"Aug 17, 2011",Main News; Part A; Editorial Desk,436.0," The federal Secure Communities program, for instance, requires local law enforcement to submit fingerprints of detainees to the FBI and the Department of Homeland Security; information regarding the inmates' immigration status is then shared with police and jailers.",An immigration tangle,Los Angeles Times,"Federal state relations, Immigration policy, Civil rights, Jurisdiction, Criminal liability, Editorials -- Immigration policy, Aliens"
61,"Lazo, Alejandro; Popper, Nathaniel","Oct 1, 2011",Business; Part B; Business Desk,1428.0," Key reforms to mortgage servicing and foreclosure practices advocated by the attorneys general may also be delayed, although Harris called on the banks to adopt such measure independently Friday.",FORECLOSURES; State exits settlement deal talks; California Atty. Gen. Kamala Harris vows to launch own probe of mortgage lenders.,Los Angeles Times,"Mortgage servicing, State government, Settlements & damages, Foreclosure, Investigations"
62,"Gordon, Larry","Jan 27, 2011",LATExtra; Part AA; Metro Desk,561.0," First given in 1966, the annual survey is considered the nation's most comprehensive assessment of college students' attitudes.","Young and overwhelmed; Emotional health among college freshmen in U.S. is at a record low, study says.",Los Angeles Times,"College students, Polls & surveys, Colleges & universities, Mental health, Young adults"
63,Anonymous,"Jun 4, 2011",Main News; Part A; National Desk,116.0,,"NATIONAL BRIEFING; WASHINGTON, D.C.; First lady plans trip to Africa",Los Angeles Times,
64,"Mascaro, Lisa","Mar 15, 2011",Main News; Part A; National Desk,566.0," The House is set to vote Tuesday on the newest stopgap proposal, which would fund the government for three more weeks while cutting another $6 billion -- on par with reductions first sought by the GOP in a House-passed spending bill that was rejected by Senate Democrats.",Second budget fix may not fly; Lawmakers on both sides are resisting another stopgap measure to prevent a federal shutdown.,Los Angeles Times,"Shutdowns, Budgeting -- United States--US, Federal budget, Leadership, Government spending, Political behavior, Bills"
65,"Zavis, Alexandra","Jul 26, 2011",LATExtra; Part AA; Metro Desk,543.0," In a pointed keynote address Monday, NAACP President Benjamin Todd Jealous urged members of the civil rights organization to stand up against restrictive state voting laws, which he compared to Jim Crow laws of decades past.",CALIFORNIA; NAACP head targets new voting laws; Group's president blames ID requirements on a backlash against the election of Obama,Los Angeles Times,Voting rights
66,"Borzou Daragahi; Sandels, Alexandra","Aug 1, 2011",Main News; Part A; Foreign Desk,1205.0," The months-long standoff between Syria's embattled government and a broad-based opposition movement escalated dramatically when security forces launched simultaneous military attacks in several major cities, instilling anger and fear in an already battered populace just ahead of the emotionally charged month of Ramadan. Videos posted to the Internet showed young men cowering amid intense barrages of automatic weapons fire and images of bodies with gunshot wounds.","Syrian forces escalate attacks on protesters; Tank and machine gun fire is reported, and witnesses say Sunni mosques are targeted.",Los Angeles Times,"Demonstrations & protests -- Syria, Political persecution, Fatalities, Military engagements, Sectarian violence"
67,"West, Paul","Apr 5, 2011",Main News; Part A; National Desk,1017.0," According to national opinion polls, almost half of registered voters favor a second term for Obama.",Obama launches 2012 bid; His early filing reflects both an aggressive approach and the challenges he'll face in seeking reelection.,Los Angeles Times,"Presidential elections, Nominations, Elections -- United States--US, Political campaigns, Unemployment"
68,"Skelton, George","Oct 17, 2011",Main News; Part A; Metro Desk,917.0," There's also $1 billion waiting for housing development -- and about $2 billion for such things as health facilities, stem cell research, the Air Resources Board, the University of California, community colleges and K-12 schools. Since 2009, the state has sold $30 billion in infrastructure bonds, disbursing $21 billion.","CAPITOL JOURNAL; $9 billion is looking for a job; The money is available for public works, but it is sitting unused",Los Angeles Times,"Bureaucracy, Infrastructure, Public works, Governors, State government, Government bonds"
69,"Wharton, David; Bresnahan, Mike","Nov 27, 2011",Main News; Part A; Sports Desk,862.0," With the NBA headed for what one official called ""a nuclear winter"" -- the cancellation of an entire season -- last-gasp negotiations produced a tentative deal to end the sport's nearly five-month-long labor dispute. Sports business experts said any further delay in reaching an agreement might have severely damaged the NBA's marketability with fans and corporate sponsors.",Labor deal means the NBA will be home for Christmas,Los Angeles Times,"Lockouts, Labor disputes, Stadiums, Professional basketball, Scheduling, Luxury taxes, Christmas"
70,"Raheem Salman; Parker, Ned","Jun 3, 2011",Main News; Part A; Foreign Desk,357.0, Families of four young pro-democracy protesters jailed in Baghdad said Thursday that the men continued to be denied access to lawyers or relatives despite repeated requests.,Families of 4 jailed Iraqis seek access; The men were active in organizing weekly pro-democracy protests in Baghdad.,Los Angeles Times,
